ranking,source,target,value,ichioshi,comment
1,博麗霊夢,霧雨魔理沙,12063,3909,1380
2,宇佐見蓮子,マエリベリー・ハーン,5178,1251,826
3,霧雨魔理沙,アリス・マーガトロイド,4946,1142,515
4,十六夜咲夜,レミリア・スカーレット,4121,749,380
5,古明地さとり,古明地こいし,3679,672,400
6,レミリア・スカーレット,フランドール・スカーレット,3586,660,369
7,紅美鈴,十六夜咲夜,3186,640,311
8,魂魄妖夢,西行寺幽々子,3126,594,266
9,上白沢慧音,藤原妹紅,3082,606,285
10,蓬莱山輝夜,藤原妹紅,2771,390,300
11,古明地こいし,秦こころ,2576,484,292
12,西行寺幽々子,八雲紫,2402,451,315
13,大妖精,チルノ,2391,325,233
14,博麗霊夢,八雲紫,2247,477,259
15,鬼人正邪,少名針妙丸,1866,293,267
16,射命丸文,犬走椛,1862,363,187
17,小野塚小町,四季映姫・ヤマザナドゥ,1744,255,175
18,フランドール・スカーレット,古明地こいし,1725,399,175
19,魂魄妖夢,鈴仙・優曇華院・イナバ,1688,308,175
20,ドレミー・スイート,稀神サグメ,1594,210,220
21,純狐,ヘカーティア・ラピスラズリ,1555,188,193
22,ナズーリン,寅丸星,1523,258,150
23,稗田阿求,本居小鈴,1478,145,210
24,火焔猫燐,霊烏路空,1414,217,154
25,水橋パルスィ,星熊勇儀,1324,236,130
26,鈴仙・優曇華院・イナバ,純狐,1283,200,206
27,博麗霊夢,東風谷早苗,1223,236,154
28,橙,八雲藍,1088,178,130
29,射命丸文,姫海棠はたて,1082,146,106
30,永江衣玖,比那名居天子,985,156,89
31,秋静葉,秋穣子,977,140,137
32,聖白蓮,豊聡耳神子,943,146,140
33,清蘭,鈴瑚,899,93,179
34,小悪魔,パチュリー・ノーレッジ,898,122,84
35,蘇我屠自古,物部布都,868,129,96
36,霧雨魔理沙,森近霖之助,851,165,113
37,パチュリー・ノーレッジ,レミリア・スカーレット,844,123,102
38,霧雨魔理沙,フランドール・スカーレット,825,160,74
39,因幡てゐ,鈴仙・優曇華院・イナバ,784,91,69
40,八坂神奈子,洩矢諏訪子,752,110,82
41,八意永琳,蓬莱山輝夜,734,105,70
42,わかさぎ姫,今泉影狼,715,98,90
43,紅美鈴,フランドール・スカーレット,702,111,73
44,霧雨魔理沙,パチュリー・ノーレッジ,693,105,64
45,東風谷早苗,多々良小傘,687,122,91
46,八雲藍,八雲紫,683,92,64
47,鍵山雛,河城にとり,678,120,65
48,パチュリー・ノーレッジ,アリス・マーガトロイド,653,108,68
49,ミスティア・ローレライ,幽谷響子,607,110,109
50,宮古芳香,霍青娥,606,82,60
51,博麗霊夢,アリス・マーガトロイド,598,133,83
52,藤原妹紅,宇佐見菫子,565,59,81
53,博麗霊夢,射命丸文,532,115,66
54,十六夜咲夜,魂魄妖夢,531,102,74
55,レミリア・スカーレット,古明地さとり,490,85,77
56,博麗霊夢,伊吹萃香,465,71,30
57,博麗霊夢,レミリア・スカーレット,456,80,56
58,霧雨魔理沙,十六夜咲夜,433,77,64
59,博麗霊夢,易者,429,60,116
60,蘇我屠自古,豊聡耳神子,418,64,59
61,クラウンピース,ヘカーティア・ラピスラズリ,406,29,48
62,九十九弁々,九十九八橋,403,56,74
63,封獣ぬえ,二ッ岩マミゾウ,397,47,58
64,封獣ぬえ,鬼人正邪,387,68,41
65,多々良小傘,封獣ぬえ,381,65,33
66,夢月,幻月,360,39,53
67,博麗霊夢,十六夜咲夜,343,57,33
68,十六夜咲夜,アリス・マーガトロイド,325,74,40
69,物部布都,豊聡耳神子,324,47,29
70,河城にとり,犬走椛,323,49,36
71,北白河ちゆり,岡崎夢美,322,35,55
72,チルノ,射命丸文,321,63,54
73,雲居一輪,物部布都,308,46,60
74,東風谷早苗,洩矢諏訪子,302,41,23
74,村紗水蜜,封獣ぬえ,302,60,29
76,鈴仙・優曇華院・イナバ,八意永琳,298,40,27
77,霧雨魔理沙,河城にとり,290,56,23
77,鬼人正邪,稀神サグメ,290,40,51
79,ユキ,マイ,282,51,46
80,博麗霊夢,茨木華扇,280,41,16
81,博麗霊夢,ルーミア,279,63,45
82,霧雨魔理沙,魅魔,277,35,46
83,アリス・マーガトロイド,神綺,269,24,40
84,ルーミア,ミスティア・ローレライ,266,67,39
84,豊聡耳神子,秦こころ,266,26,36
86,純狐,嫦娥,255,13,68
87,伊吹萃香,星熊勇儀,247,34,23
88,二ッ岩マミゾウ,本居小鈴,245,23,31
89,雲居一輪,雲山,242,26,54
90,アリス・マーガトロイド,風見幽香,240,56,35
91,射命丸文,東風谷早苗,237,42,23
92,綿月豊姫,綿月依姫,233,29,41
93,雲居一輪,村紗水蜜,232,36,25
94,鈴仙・優曇華院・イナバ,蓬莱山輝夜,227,37,33
95,チルノ,レティ・ホワイトロック,225,25,34
96,ルーミア,フランドール・スカーレット,223,48,28
97,フランドール・スカーレット,射命丸文,217,46,31
98,博麗霊夢,少名針妙丸,208,25,29
99,リグル・ナイトバグ,ミスティア・ローレライ,206,47,24
100,紅美鈴,レミリア・スカーレット,201,32,27
100,メディスン・メランコリー,風見幽香,201,28,26
102,リグル・ナイトバグ,風見幽香,198,39,25,※
103,犬走椛,姫海棠はたて,194,19,32,※
104,アリス・マーガトロイド,アリスの人形（上海・蓬莱・大江戸他）,176,24,27,※
105,多々良小傘,赤蛮奇,174,37,26,※
106,ルーミア,チルノ,172,19,16,※
107,犬走椛,今泉影狼,161,30,18,※
108,八雲紫,比那名居天子,157,26,15,※
108,霍青娥,茨木華扇,157,20,16,※
110,黒谷ヤマメ,水橋パルスィ,152,27,28,※
111,宇佐見菫子,森近霖之助,151,15,41,※
112,鈴仙・優曇華院・イナバ,抗鬱薬おじさん,150,23,43,※
112,鍵山雛,水橋パルスィ,150,33,29,※
114,霍青娥,豊聡耳神子,147,18,17,※
115,キスメ,黒谷ヤマメ,146,24,20,※
116,ミスティア・ローレライ,藤原妹紅,140,18,16,※
117,ナズーリン,多々良小傘,136,23,19,※
118,比那名居天子,霊烏路空,128,30,33,※
119,蓬莱人形ジャケットイラストの娘,蓬莱人形レーベルイラストの娘,123,26,29,※
120,射命丸文,河城にとり,122,18,20,※
121,鈴仙・優曇華院・イナバ,藤原妹紅,121,16,17,※
122,チルノ,クラウンピース,118,9,32,※
123,伊吹萃香,茨木華扇,111,11,20,※
124,東風谷早苗,比那名居天子,108,23,19,※
125,古明地さとり,火焔猫燐,107,14,10,※
126,十六夜咲夜,フランドール・スカーレット,106,15,7,※
126,水橋パルスィ,古明地さとり,106,28,18,※
126,赤蛮奇と今泉,影狼,106,10,15,※
129,ルナサ・プリズムリバー,魂魄妖夢,105,27,11,※
130,易者,抗鬱薬おじさん,102,7,20,※
131,上白沢慧音,森近霖之助,99,20,18,※
132,博麗霊夢,森近霖之助,96,19,10,※
133,上白沢慧音,八意永琳,91,12,15,※
133,小野塚小町,茨木華扇,91,12,12,※
135,宮古芳香,茨木華扇,89,9,24,※
136,クラウンピース,純狐,88,6,9,※
137,四季映姫・ヤマザナドゥ,古明地さとり,86,17,18,※
138,森近霖之助,名無しの本読み妖怪,84,9,13,※
139,博麗霊夢,本居小鈴,83,6,11,※
139,東風谷早苗,八坂神奈子,83,8,12,※
141,霧雨魔理沙,魂魄妖夢,82,18,8,※
142,宇佐見菫子,茨木華扇,81,5,13,※
143,風見幽香,比那名居天子,80,14,14,※
144,霧雨魔理沙,チルノ,79,10,6,※
144,古明地さとり,稀神サグメ,79,11,15,※
146,聖白蓮,封獣ぬえ,77,11,8,※
147,夢子,神綺,76,5,11,※
148,博麗霊夢,風見幽香,74,16,9,※
149,多々良小傘,幽谷響子,71,9,10,※
150,チルノ,洩矢諏訪子,70,13,11,※
150,寅丸星,聖白蓮,70,5,7,※
150,わかさぎ姫,赤蛮奇,70,9,8,※
153,博麗霊夢,チルノ,69,15,9,※
153,博麗霊夢,明羅,69,12,18,※
155,本居小鈴,なめえもん,68,5,22,※
156,博麗霊夢,比那名居天子,67,9,11,※
156,霧雨魔理沙,ルーミア,67,12,13,※
156,霧雨魔理沙,ヘカーティア・ラピスラズリ,67,6,14,※
156,レティ・ホワイトロック,風見幽香,67,16,15,※
160,古明地さとり,秦こころ,62,9,3,※
161,博麗霊夢,綿月依姫,61,6,13,※
161,古明地こいし,封獣ぬえ,61,3,10,※
163,パチュリー・ノーレッジ,十六夜咲夜,60,7,5,※
164,八意永琳,メディスン・メランコリー,59,7,12,※
164,風見幽香,魅魔,59,10,7,※
166,博麗霊夢,フランドール・スカーレット,58,11,7,※
166,紅美鈴,パチュリー・ノーレッジ,58,12,10,※
166,風見幽香,エリー,58,9,7,※
169,橙,火焔猫燐,57,9,11,※
170,大妖精,小悪魔,56,7,9,※
170,西行寺幽々子,ミスティア・ローレライ,56,6,8,※
170,八雲藍,二ッ岩マミゾウ,56,6,13,※
