id,name,picture,group
1,博麗霊夢,73548,0
2,霧雨魔理沙,61583,0
3,ルーミア,58016,1
4,大妖精,18976,1
5,チルノ,102018,1
6,紅美鈴,27812,1
7,小悪魔,21565,1
8,パチュリー・ノーレッジ,21749,1
9,十六夜咲夜,48483,1
10,レミリア・スカーレット,41961,1
11,フランドール・スカーレット,49059,1
12,レティ・ホワイトロック,6655,2
13,橙,37289,2
14,アリス・マーガトロイド,43299,2
15,リリーホワイト,6302,2
16,メルラン・プリズムリバー,1898,2
17,リリカ・プリズムリバー,2505,2
18,ルナサ・プリズムリバー,2626,2
19,魂魄妖夢,39557,2
20,西行寺幽々子,22828,2
21,八雲藍,22872,2
22,八雲紫,35185,2
23,伊吹萃香,16137,11
24,リグル・ナイトバグ,8558,3
25,ミスティア・ローレライ,11321,3
26,上白沢慧音,14951,3
27,因幡てゐ,14739,3
28,鈴仙・優曇華院・イナバ,21392,3
29,八意永琳,9728,3
30,蓬莱山輝夜,13810,3
31,藤原妹紅,29396,3
32,射命丸文,33303,12
33,風見幽香,283704,4
34,メディスン・メランコリー,5233,4
35,小野塚小町,12013,4
36,四季映姫・ヤマザナドゥ,7566,4
37,秋静葉,8662,5
38,秋穣子,8490,5
39,鍵山雛,20430,5
40,河城にとり,23521,5
41,犬走椛,29301,5
42,東風谷早苗,39443,5
43,八坂神奈子,14424,5
44,洩矢諏訪子,23935,5
45,比那名居天子,23065,11
46,永江衣玖,11783,11
47,キスメ,7055,6
48,黒谷ヤマメ,8828,6
49,水橋パルスィ,17768,6
50,星熊勇儀,10941,6
51,古明地さとり,35453,6
52,火焔猫燐,14591,6
53,霊烏路空,24525,6
54,古明地こいし,48440,6
55,ナズーリン,26875,7
56,多々良小傘,17252,7
57,雲居一輪,7132,7
58,雲山,4393,7
59,村紗水蜜,10404,7
60,寅丸星,15837,7
61,聖白蓮,15381,7
62,封獣ぬえ,17882,7
63,姫海棠はたて,8788,12
64,幽谷響子,7927,8
65,宮古芳香,9485,8
66,霍青娥,8049,8
67,蘇我屠自古,7700,8
68,物部布都,12681,8
69,豊聡耳神子,10277,8
70,二ッ岩マミゾウ,5010,8
71,秦こころ,8711,11
72,わかさぎ姫,4378,9
73,赤蛮奇,6469,9
74,今泉影狼,6351,9
75,九十九弁々,1991,9
76,九十九八橋,1616,9
77,鬼人正邪,5960,9
78,少名針妙丸,5094,9
79,堀川雷鼓,2057,9
80,宇佐見菫子,1505,11
81,清蘭,1627,10
82,鈴瑚,1498,10
83,ドレミー・スイート,2151,10
84,稀神サグメ,3289,10
85,クラウンピース,3835,10
86,純狐,2653,10
87,ヘカーティア・ラピスラズリ,1999,10
